ID,Claims,LabelC,Related TweetT,LabelT,Related TweetF,LabelF
75,Ukraineís Sievierodonetsk falls to Russia after one of warís bloodiest fights,TRUE,Ukraine's Sievierodonetsk falls to Russia after one of war's bloodiest fights https://t.co/LaNcqrpjLH,TRUE,"Ukraine's Sievierodonetsk falls to Russia after one of war's bloodiest fights
biggest victory since capturing the port of Mariupol last month.|
The end will be a total surrender of Ukrainian army.
Pakistan World Power Manifesto
https://t.co/ngFqIuqw0d",FALSE
76,Global hacking group Anonymous launches ëcyber warí against Russia,TRUE,Global hacking group Anonymous launches ‚Äòcyber war‚Äô against Russia https://t.co/KEz2RD0qVo,TRUE,"Global hacking group Anonymous launches ‚Äòcyber war‚Äô against Russia  Global hacking group Anonymous launches ‚Äòcyber war‚Äô against Russia 

https://t.co/dR2T94SB2w
 This WAS STUPID. They have just provoked an already aggressive tiger. I hope they realize, this opens Pandora's box.",FALSE
77,"Western arms convoys to Ukraine are ëlegitimate targets,í Russia warns",TRUE,"Western arms convoys to Ukraine are ‚Äòlegitimate targets,‚Äô Russia warns https://t.co/T1fhSCDyyu",TRUE,Russia warns that Western arms convoys supplying Ukraine will be considered ‚Äòlegitimate targets‚Äô https://t.co/tzOgoGuGPB OK so that means supply trains to the Russian forces are also 'legitimate targets',FALSE
78,Ukraine crisis talks move to Moscow and Washington,TRUE,Ukraine crisis talks move to Moscow and Washington https://t.co/GLQOR971pp,TRUE,"That‚Äôs a lot of distance between the two.
-&gt;Ukraine crisis talks move to Moscow and Washington (from @AP) https://t.co/q4YcTZMgAC",FALSE
79,"Itís ërecklessí to talk about defeating Russia, says former advisor to the Soviet Union",TRUE,"It's 'reckless' to talk about defeating Russia, says former advisor to the Soviet Union https://t.co/6FEx0o8iMe",TRUE,"Disagree - time to expose Russia for what it is and has become. Question the 1000 nuke comment.

It's 'reckless' to talk about defeating Russia, says former advisor to the Soviet Union https://t.co/jWgEh9iclx",FALSE
80,NATO to expand? Chief says Finland ó which borders Russia ó would be warmly welcomed to the alliance,TRUE,NATO to expand? Chief says #Finland ‚Äî which borders Russia ‚Äî would be warmly welcomed to the alliance https://t.co/nr8PsGcngv via @smeredith19 @CNBCi,TRUE,NATO to expand? Chief says Finland ‚Äî which borders Russia ‚Äî would be warmly welcomed to the alliance https://t.co/QfnlJHcJZ7,TRUE
81,"U.S., allies set to impose more sanctions on Russia following outrage over possible war crimes",TRUE,"U.S., allies set to impose more sanctions on Russia following outrage over possible war crimes https://t.co/bp2SgOOP5X",TRUE,"U.S., allies set to impose more sanctions on Russia following outrage over possible war crimes https://t.co/S6inE8loZ4",TRUE
82,El-Erian on Russia and the Fed: ëThis is the situation everybody was afraid ofí,TRUE,El-Erian on Russia and the Fed: 'This is the situation everybody was afraid of' https://t.co/9SwfjXtOk9,TRUE,El-Erian on Russia and the Fed: 'This is the situation everybody was afraid of' https://t.co/ZihJYHltl7 (via @JeffCoxCNBCcom),TRUE
83,"Dimon says confluence of inflation, Ukraine war may ëdramatically increase risks aheadí for U.S.",TRUE,"Dimon says confluence of inflation, Ukraine war may 'dramatically increase risks ahead' for U.S. https://t.co/E82tk2jPL6",TRUE,"When has war been bad for the economy or the stock market?  

Dimon proves he's clueless once again. He should have been fired during the Great Recession.

Dimon says confluence of inflation, Ukraine war may 'dramatically increase risks ahead' for U.S. https://t.co/epbJ4TxUG1",FALSE
84,"NATO says Russia is increasing troop numbers at Ukrainian border, calls for talks",TRUE,"NATO says Russia is increasing troop numbers at Ukrainian border, calls for talks https://t.co/Rf62PU3Hjn",TRUE,"We really need to change

Thousands of Russian troops withdrawing from Ukraine border: report

NATO says Russia is increasing troop numbers at Ukrainian border, calls for talks",FALSE
85,Biden vows wider sanctions on Russia in effort to cut Moscow off from the global economy,TRUE,Biden vows wider sanctions on Russia in effort to cut Moscow off from the global economy https://t.co/PbvQjIMq2p,TRUE,Biden vows wider sanctions on Russia in effort to cut Moscow off from the global economy.  Sleazy Biden's word is meaningless.  He has no credibility and no one trusts him -- friends or foes. https://t.co/FKBGAOgSif,FALSE
86,"Putin wants to ëturn Ukraine into a broken country,í political analyst says",TRUE,"Putin Wants to ‚ÄòTurn Ukraine Into a Broken Country,' Political Analyst Says https://t.co/szhYGN1mtE",TRUE,"@rayytseng Also though...it *might* be that Putin has a ""If I can't have Ukraine, NOBODY can have it every again!"" attitude...  ü§∑üèæ‚Äç‚ôÇÔ∏è  
*****  
Putin wants to ‚Äòturn Ukraine into a broken country,‚Äô political analyst says  
https://t.co/xdemny56DR",FALSE
87,"Vladimir Putin feels his military leaders misled him about Ukraine, declassified intelligence shows",TRUE,"Vladimir Putin feels his military leaders misled him about Ukraine, declassified intelligence shows https://t.co/wSiW1MIxEA",TRUE,"‚ÄúVladimir Putin feels his military leaders misled him about Ukraine, declassified intelligence shows‚Äù

Doesn‚Äôt Putin have Twitter? https://t.co/qQdJIIK2oE",FALSE
88,"Cyberattacks are on the rise as hackers use Russia-Ukraine war as a distraction, CrowdStrike†CEO says",TRUE,"Cyberattacks are on the rise as hackers use Russia-Ukraine war as a distraction, CrowdStrike CEO says https://t.co/XWSwZBOgGa",TRUE,"Cyberattacks Are on the Rise as Hackers Use Russia-Ukraine War as a Distraction, CrowdStrike CEO Says https://t.co/B9qeVGUUzV",TRUE
89,"Russian troops sabotaging their own equipment and refusing orders in Ukraine, UK spy chief says",TRUE,"Russian troops sabotaging their own equipment and refusing orders in Ukraine, UK spy chief says https://t.co/sPvj83X3hL",TRUE,"Oh! This's big. But then take it with a pinch of salt - coz truth is the first casualty in a war.

Russian troops sabotaging their own equipment and refusing orders in Ukraine, UK spy chief says https://t.co/JIncsczaX0",FALSE
90,Three million migrants have now fled Ukraine ówith the majority going to Poland. That could have major repercussions,TRUE,Three million migrants have now fled Ukraine ‚Äîwith the majority going to Poland. That could have major repercussions https://t.co/Xt0At4uSGQ,TRUE,Three million migrants have now fled Ukraine ‚Äîwith the majority going to Poland. That could have major¬†repercussions https://t.co/lafmKtR7jl,TRUE
91,"Putinís popularity soared after Russia invaded Crimea. This time, itís different",TRUE,"Putin's popularity soared after Russia invaded Crimea. This time, it's different https://t.co/UZo8F11U2W",TRUE,"Body-bags are not a sign of popularity.

Putin's popularity soared after Russia invaded Crimea. This time, it's different

https://t.co/8sRdg6PndN",FALSE
92,"Biden orders sanctions on separatist regions of Ukraine after Putin decree, EU vows additional measures",TRUE,"Biden orders sanctions on separatist regions of Ukraine after Putin decree, EU vows additional measures https://t.co/pdCRlTGwtc",TRUE,"Biden orders sanctions on separatist regions of Ukraine after Putin decree, EU vows additional measures https://t.co/DqPMO0g248",TRUE
93,"Welcoming Ukraine into the EU would send a ëvery clear message to Putin,í Kyiv lawmaker says",TRUE,"Welcoming Ukraine into the EU would send a 'very clear message to Putin,' Kyiv lawmaker says https://t.co/0KciTIn8f0",TRUE,"Welcoming Ukraine into the EU would send a 'very clear message to Putin,' Kyiv lawmaker says https://t.co/zBmMyahecC",TRUE
94,"WHO says war in Ukraine will increase Covid transmission, putting large numbers of people at risk of severe disease",TRUE,"WHO says war in Ukraine will increase Covid transmission, putting large numbers of people at risk of severe disease https://t.co/52QV1mMBzi",TRUE,"Idiocy: WHO says the war being waged in Ukraine will increase Covid transmission, putting large numbers of people at risk of severe disease. A major Priority not being addressed is the populace is able to survive hostile fire and the incoming ordinance.  https://t.co/ewRakLF4GY",FALSE
95,Russian forces shift target to Donetsk as Zelenskyy vows Ukraine will win back captured Luhansk,TRUE,Russian forces shift target to Donetsk as Zelenskyy vows Ukraine will win back captured Luhansk https://t.co/k77jDvKPjr,TRUE,"Russian forces shift target to Donetsk as Zelenskyy vows Ukraine will win back captured Luhansk  https://t.co/mznjj0eJOF Zelenskyy is a stupid fool for fighting America's proxy ware with Russia He will not stop short of turning is 
 country into a graveyard.",FALSE
96,Biden says U.S. would ërespondí to Russia if Putin uses chemical or biological weapons,TRUE,President Biden says the U.S. would ‚Äúrespond‚Äù to Russia if Putin uses chemical or biological weapons. https://t.co/3f3Uha3oPa https://t.co/gbLXa5BEij,TRUE,"I don't think he would. If he going to shoot cruise missiles into Russia? 

Biden says U.S. would 'respond' to Russia if Putin uses chemical or biological weapons https://t.co/EmmvFe3HkS",FALSE
97,"U.S., UK resist calls for no-fly zone over Ukraineís pleas: ëOur goal is to end the war, not to expand ití",TRUE,"U.S., UK resist calls for no-fly zone over Ukraine's pleas: 'Our goal is to end the war, not to expand it' https://t.co/7rF4KztCzE",TRUE,"Only way to end it...is to expand it first.  üóΩüá∫üá¶

U.S., UK resist calls for no-fly zone over Ukraine's pleas: 'Our goal is to end the war, not to expand it' - CNBC https://t.co/VUZ1muzFHD via @GoogleNews",FALSE
98,Russian soldier sentenced to life in prison in Ukraineís first war crimes trial since invasion,TRUE,"A 21-year-old Russian soldier has been sentenced to life in prison for killing an unarmed man in Ukraine's first war crimes trial since Russia's invasion.

Sgt. Vadim Shyshimarin admitted to shooting a 62-year-old Ukrainian man in the head during the early days of the war.",TRUE,Russian soldier sentenced to life in prison in Ukraine‚Äôs first war crimes trial since invasion https://t.co/ovsa8EyDfo via @nbcnews,TRUE
99,Russia says Bidenís ëwar criminalí claim has put relations ëon the verge of ruptureí,TRUE,Russia says Biden's 'war criminal' claim has put relations 'on the verge of rupture' https://t.co/yUESkeXvcn,TRUE,"CNBC: Russia says Biden's 'war criminal' claim has put relations 'on the verge of rupture'.
https://t.co/7Y1TC7BmPD

You mean those very same relations that you yourself ruptured by invading Ukraine last month?

Fuck right off and die. #PutinWarCriminal #FuckPutin #KillPutin",FALSE
100,Russiaís messages with missiles tell West to back off,TRUE,Russia's messages with missiles tell West to back off  https://t.co/oVmzi9cTT6,TRUE,"Russia's messages with missiles tell West to back off. 
         This is incorrect. The message is that Putin is a killer and has no regard for the lives of anyone in this world except his own. Don't fool yourself into thinking otherwise. https://t.co/FeRU6uACjw",FALSE
